City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
San Diego,San Diego National Bank,U.S. Bank N.A.,CA,32.7174202,-117.1627728,2009-10-30
Lemont,Community Bank of Lemont,U.S. Bank N.A.,IL,41.6737149,-88.0016263,2009-10-30
Phoenix,"Bank USA, N.A.",U.S. Bank N.A.,AZ,33.4484367,-112.074141,2009-10-30
Westmont,First DuPage Bank,First Midwest Bank,IL,41.7950525,-87.9751964,2009-10-23
Otsego,Riverview Community Bank,Central Bank,MN,45.2812733,-93.614857,2009-10-23
Racine,Bank of Elmwood,Tri City National Bank,WI,42.7260523,-87.7825242,2009-10-23
Bradenton,Flagship National Bank,First Federal Bank of Florida,FL,27.4989278,-82.5748194,2009-10-23
Naples,Hillcrest Bank Florida,Stonegate Bank,FL,26.1421976,-81.7942944,2009-10-23
Lawrenceville,American United Bank,Ameris Bank,GA,33.9566391,-83.9890066,2009-10-23
Naples,Partners Bank,Stonegate Bank,FL,26.1421976,-81.7942944,2009-10-23
Bakersfield,San Joaquin Bank,Citizens Business Bank,CA,35.3738712,-119.0194639,2009-10-16
Pueblo,Southern Colorado National Bank,Legacy Bank,CO,38.2544472,-104.609141,2009-10-02
Spring Grove,Jennings State Bank,Central Bank,MN,43.5610145,-91.6359516,2009-10-02
Warren,Warren Bank,The Huntington National Bank,MI,38.7535106,-91.1453948,2009-10-02
Atlanta,Georgian Bank,"First Citizens Bank and Trust Company, Inc.",GA,33.7489924,-84.3902644,2009-09-25
Louisville,"Irwin Union Bank, F.S.B.","First Financial Bank, N.A.",KY,38.2542376,-85.759407,2009-09-18
Columbus,Irwin Union Bank and Trust Company,"First Financial Bank, N.A.",IN,39.2014405,-85.9213796,2009-09-18
Lacey,Venture Bank,First-Citizens Bank & Trust Company,WA,47.0263876,-122.8072257,2009-09-11
Woodbury,Brickwell Community Bank,CorTrust Bank N.A.,MN,44.919896,-92.9339449,2009-09-11
Chicago,"Corus Bank, N.A.","MB Financial Bank, N.A.",IL,41.8755616,-87.6244212,2009-09-11
Flagstaff,First State Bank,Sunwest Bank,AZ,35.1816047,-111.6165953319917,2009-09-04
Rolling Meadows,Platinum Community Bank,No Acquirer,IL,42.0841936,-88.0131275,2009-09-04
Sioux City,Vantus Bank,Great Southern Bank,IA,42.4966815,-96.4058782,2009-09-04
Oak Forest,InBank,"MB Financial Bank, N.A.",IL,41.6028116,-87.7439384,2009-09-04
Kansas City,First Bank of Kansas City,Great American Bank,MO,39.100105,-94.5781416,2009-09-04
Ventura,Affinity Bank,Pacific Western Bank,CA,34.4458248,-119.0779359,2009-08-28
Forest Lake,Mainstreet Bank,Central Bank,MN,45.279106,-92.9851629,2009-08-28
Baltimore,Bradford Bank,Manufacturers and Traders Trust Company (M&T Bank),MD,39.2908816,-76.610759,2009-08-28
Austin,Guaranty Bank,BBVA Compass,TX,30.2711286,-97.7436995,2009-08-21
Birmingham,CapitalSouth Bank,IBERIABANK,AL,33.5206824,-86.8024326,2009-08-21
Newnan,First Coweta Bank,United Bank,GA,33.3806716,-84.7996573,2009-08-21
Atlanta,ebank,"Stearns Bank, N.A.",GA,33.7489924,-84.3902644,2009-08-21
Las Vegas,Community Bank of Nevada,No Acquirer,NV,36.1672559,-115.148516,2009-08-14
Phoenix,Community Bank of Arizona,MidFirst Bank,AZ,33.4484367,-112.074141,2009-08-14
Gilbert,"Union Bank, National Association",MidFirst Bank,AZ,33.3527632,-111.789037,2009-08-14
Montgomery,Colonial Bank,"Branch Banking & Trust Company, (BB&T)",AL,32.3669656,-86.3006485,2009-08-14
Pittsburgh,Dwelling House Savings and Loan Association,"PNC Bank, N.A.",PA,40.4416941,-79.9900861,2009-08-14
Prineville,Community First Bank,Home Federal Bank,OR,44.2998261,-120.834972,2009-08-07
Venice,Community National Bank of Sarasota County,"Stearns Bank, N.A.",FL,27.0999188,-82.4543597,2009-08-07
Sarasota,First State Bank,"Stearns Bank, N.A.",FL,27.3365805,-82.5308545,2009-08-07
Harvey,Mutual Bank,United Central Bank,IL,41.6100344,-87.6467132,2009-07-31
Elizabeth,First BankAmericano,Crown Bank,NJ,40.6639916,-74.2107006,2009-07-31
West Chester,Peoples Community Bank,"First Financial Bank, N.A.",OH,39.3303357,-84.408275,2009-07-31
Jupiter,Integrity Bank,Stonegate Bank,FL,26.9342246,-80.0942087,2009-07-31
Altus,First State Bank of Altus,Herring Bank,OK,34.6381255,-99.3339754,2009-07-31
Gray,Security Bank of Jones County,State Bank and Trust Company,GA,33.0095802,-83.5337816,2009-07-24
Perry,Security Bank of Houston County,State Bank and Trust Company,GA,32.4586695,-83.7319658,2009-07-24
Macon,Security Bank of Bibb County,State Bank and Trust Company,GA,32.8406946,-83.6324022,2009-07-24
Woodstock,Security Bank of North Metro,State Bank and Trust Company,GA,34.1014112,-84.5192192,2009-07-24
Alpharetta,Security Bank of North Fulton,State Bank and Trust Company,GA,34.0709576,-84.2747329,2009-07-24
Suwanee,Security Bank of Gwinnett County,State Bank and Trust Company,GA,34.0514898,-84.0712997,2009-07-24
Williamsville,Waterford Village Bank,"Evans Bank, N.A.",NY,42.9637836,-78.7377258,2009-07-24
Temecula,Temecula Valley Bank,First-Citizens Bank & Trust Company,CA,33.4946353,-117.1473661,2009-07-17
Rancho Cucamonga,Vineyard Bank,California Bank & Trust,CA,34.1033192,-117.5751735,2009-07-17
Sioux Falls,BankFirst,"Alerus Financial, N.A.",SD,43.5488256,-96.7307737,2009-07-17
Winder,First Piedmont Bank,First American Bank and Trust Company,GA,33.9919085,-83.7184368,2009-07-17
Thermopolis,Bank of Wyoming,Central Bank & Trust,WY,43.646067,-108.212043,2009-07-10
Worth,Founders Bank,The PrivateBank and Trust Company,IL,41.6899779,-87.7974139,2009-07-02
Dallas,Millennium State Bank of Texas,State Bank of Texas,TX,32.7762719,-96.7968559,2009-07-02
Danville,First National Bank of Danville,"First Financial Bank, N.A.",IL,40.125222,-87.6304614,2009-07-02
Elizabeth,The Elizabeth State Bank,Galena State Bank and Trust Company,IL,42.3177911,-90.221517,2009-07-02
Oregon,Rock River Bank,The Harvard State Bank,IL,42.0147513,-89.3323279,2009-07-02
Winchester,First State Bank of Winchester,The First National Bank of Beardstown,IL,39.62973,-90.4562813,2009-07-02
Clinton,John Warner Bank,State Bank of Lincoln,IL,38.5896187,-89.420064,2009-07-02
Los Angeles,Mirae Bank,Wilshire State Bank,CA,34.0536909,-118.242766,2009-06-26
Irvine,MetroPacific Bank,Sunwest Bank,CA,33.6856969,-117.8259819,2009-06-26
